 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
advantage 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 0.0370370346569 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
after 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 0.00674416047574 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238527e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
against 4.36109629565e-102 7.1327640461e-102 1.78094243317e-102 1.25e-101 4.78726357489e-53 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 0.153018825267 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 5.17521435575e-06 5.8823529583e-102 5.88235294126e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541387717e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 3.32477122226e-87 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 0.0271515076754 3.125e-102 4.34809313336e-102 2.76378155913e-102 0.0483393042994 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 2.02822582286e-97 1.3593482102e-102 3.2780603635e-102
age 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 0.0191236476954 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
ah 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 0.0134883209515 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04827225511e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
aid 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 0.125 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 1.469369135e-77 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
air 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 3.81298155916e-30 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 7.07590940631e-24 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 0.0275009887289 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
alack 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 0.0504741489423 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 7.9640254224e-77 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
alas 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 0.013593482102 3.2780603635e-102
alien 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 0.0478690955141 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
alike 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 0.0478133695753 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
all 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 0.00674416047574 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 0.143225865283 9.82524598431e-102 0.0555555555556 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03251594565e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 1.39679361223e-66 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 0.0513173739909 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 0.0739944208437 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226379e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 0.0625 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 0.054217596743 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 0.124955459701 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 0.06556120727
allayed 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 0.0555555555556 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
alone 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 0.0104290006394 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 0.0236364684662 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
alteration 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 0.0147304769335 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
altered 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 1.03176069821e-102 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 0.0121793067108 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
alters 4.36109629565e-102 7.1327640461e-102 1.78037715299e-102 1.25e-101 6.74416047574e-103 5.22399202559e-102 6.66666666724e-102 6.68150173975e-102 7.16129326415e-102 9.82524598431e-102 5.55555555556e-102 2.98074835858e-102 5.30527508855e-102 8.34156710353e-102 5.04741489423e-102 0.0103176069821 2.5e-101 3.13173819395e-102 1.04290006394e-102 6.66666666667e-102 2.53150296644e-102 3.33339238522e-102 5.8823529583e-102 5.88235294118e-102 2.50691388626e-102 2.6310904165e-102 3.4484054678e-102 2.50159498653e-102 6.24999998095e-102 3.57775973584e-102 4.78133695753e-102 2.47541330765e-102 1.91236476954e-102 4.96040809704e-102 3.02344821727e-102 5.13173739909e-102 6.25e-102 2.56374761976e-102 3.23003838828e-102 3.35589252566e-102 5.8824117057e-102 2.38470750414e-102 2.43466525777e-102 5.54947319676e-102 3.69972104218e-102 5.88099093619e-102 5.55555555556e-102 4.78690955141e-102 7.52061226378e-102 2.37349377408e-102 4.32480685797e-102 2.86066300945e-102 1e-101 4.72882404952e-102 5.31062191264e-102 2.36364684662e-102 3.70370346569e-102 2.71285597597e-102 3.125e-102 4.34809313336e-102 2.76378155913e-102 4.99697571767e-102 1.25757484138e-101 2.71087983715e-102 1.47304769335e-102 4.34372310964e-102 1.97625631023e-102 1.24955459701e-101 3.06267553209e-102 8.3863299977e-102 1.95580304216e-102 1e-101 6.66659090816e-102 4.55436196501e-102 5.80615147534e-102 1.21793067108e-102 2.75009887289e-102 4.66555119195e-102 1.3593482102e-102 3.2780603635e-102
