 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
gates 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 0.0223086189881 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993573e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
gave 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 1.10791090782e-79 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 1.80841720887e-86 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.56597009288e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 0.0666666666667 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
gay 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 0.0228663607015 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
gazeth 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 0.0217391304355 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
gazing 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 0.030303030303 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
gems 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 0.0217391304355 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
general 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 2.33552545649e-21 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 0.023595642021 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
gentle 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 0.0197153257741 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.56607763e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
gift 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 0.0204085601461 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
gilding 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02588296887e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 0.0105413743856 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.4628982049e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
give 7.77284504084e-102 0.0103516930955 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 2.58402439529e-75 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 0.0319821743066 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 0.0834668272311 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
given 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 0.125 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 0.0164294659086 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 0.0293984148911 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
gives 7.77284504084e-102 1.03516930955e-102 5.59195920337e-102 7.02545067182e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 1.06674954483e-24 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 1.05369405453e-67 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 0.05 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
giving 7.77284504084e-102 0.0103516930955 5.59195920337e-102 7.0548907516e-102 3.84508936686e-102 1.97153257741e-102 5.53515074204e-102 1.36988089516e-102 2.49845276189e-102 2.17391304355e-102 2.04081632653e-102 6.66656941849e-102 1.77428430045e-102 1.05413743856e-102 1.25e-101 2.5528718743e-102 3.03332097676e-102 3.45470682326e-102 6.73572728178e-102 2.5938318265e-102 4.16631830535e-102 3.0303030303e-102 1.64294659086e-102 3.12490694689e-102 2.23086189881e-102 4.77821433804e-102 4.16666666667e-102 3.49595807022e-102 2.93984148911e-102 6.24869612143e-102 7.84632709858e-102 3.69032546505e-102 6.62344374686e-102 2.28663821677e-102 5.55555555556e-102 2.28663607015e-102 1.66666666667e-101 8.33333333333e-102 2.3595642021e-102 7.44016284528e-102 1.42966769319e-101 4.76190476155e-102 3.69922456981e-102 1.66666666667e-101 6.67292600575e-102 4e-102 5.26366688335e-102 5.5702519543e-102 2.97947251768e-102 2.86439180945e-102 3.23922524988e-102 3.22241822364e-102 3.21409620044e-102 3.57141764918e-102 6.25138856794e-102 5.98047141596e-102 5.33040003351e-102 2.04085601461e-102 4.09335563468e-102 5.01304150683e-102 3.19821743066e-102 6.66666666667e-102 4.76007419517e-102 4.4670031266e-102 8.36847404995e-102 5.52530398654e-102 6.14125993567e-102 1.87016224999e-102 3.46289820486e-102 3.44816256113e-102 2.78222757437e-102 5e-102 9.09090909091e-102 2.38095238104e-102 6.66666669934e-102 2.49999956392e-102 2.94117647059e-102 4.28473415484e-102 6.22302868032e-102 1.83789942189e-102
