 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79
shamed 4.3374702535e-102 1.93461254464e-101 6.25e-102 0.0236818682787 2.33395870782e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 9.59869134917e-08 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.14922233943e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
she 4.3374702535e-102 1.93461254464e-101 6.25e-102 0.0473637986008 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 0.0096891023532 1.09998558238e-101 4.75550143263e-102 2.52708538395e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 0.0113860121827 0.0237571196378 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.5524854173e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 0.0355983344848 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.61750615946e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 0.052633545652 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.50931645926e-102 3.19732814728e-102 1.66666666667e-101 3.06071410848e-102 0.0588235294119 5.46915470883e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68526984052e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
sheds 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 7.68382190086e-49 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 0.0226795195206 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
shine 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 0.0248477250564 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
should 4.3374702535e-102 1.93461254464e-101 6.25e-102 0.0236818993004 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 0.0252708538243 0.0234743503947 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.12219295035e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 2.2395748683e-86 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 0.0457715800129 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 1.82124572773e-15 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 0.0399739789156 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
shouldst 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 0.0113860121827 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 0.0120583026618 7.15731323145e-102
show 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 0.0447327674678 2.63131491359e-102 7.20875294781e-102 0.0496564340607 8.45169886641e-102 2.63154827134e-102 4.13094551854e-101 6.26777034623e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.10087662069e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354686535e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.20651945212e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 7.51477446211e-10 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 0.162618676 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 0.0120583026618 7.15731323145e-102
shows 4.3374702535e-102 6.2482181674e-61 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 0.0720875294781 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 0.0237571196378 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 0.0257740983476 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
shun 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 0.0120583026618 7.15731323145e-102
sick 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 0.0450345426924 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
sight 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 3.33785199882e-42 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204611e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 0.0119481490938 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
silent 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.96283001145e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 3.58645356474e-95 3.55248541714e-102 0.0357128252587 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
sin 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 9.19993056426e-55 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204611e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 0.0249956124036 4.57715800129e-102 0.0119481490938 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
since 4.33747025656e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.65998330294e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 0.0367135503951 2.1289021342e-102 1.24973234556e-101 1.15137639677e-06 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 0.0488400342557 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22274827424e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17101653258e-102 3.60470517557e-92 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 0.0937016701328 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
sing 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 1.94954172393e-97 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 0.0294037711865 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
single 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 0.0624999999998 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 9.6891023532e-103 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 0.0769437210296 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
sings 4.3374702535e-102 1.93461254464e-101 6.25e-102 2.36818993004e-102 2.31548919669e-102 1.89766627164e-102 1.49109224893e-102 2.63131491359e-102 7.20875294781e-102 2.48282170303e-102 8.45169886641e-102 2.63154827134e-102 4.99555509143e-102 6.24999999998e-102 2.30482577227e-102 4.52719485439e-102 3.10654880443e-102 3.03888721214e-102 0.0096891023532 1.09998558238e-101 4.75550143263e-102 2.52708538243e-102 2.34743503947e-102 2.50205329749e-102 2.89817026947e-102 3.33677360501e-102 1.13860121827e-102 2.37571196378e-102 2.94037711865e-102 1.11055666669e-101 4.12276204595e-102 9.09730338521e-102 4.86818620063e-102 7.32761255484e-102 2.85440503887e-102 3.55248541714e-102 3.57128252587e-102 2.6599833023e-102 2.57740983476e-102 3.03888721214e-102 3.55983344848e-102 2.48477250564e-102 1.83567751975e-102 2.1289021342e-102 1.24973234556e-101 2.6175061585e-102 3.91787536625e-102 1.42805334518e-101 4.50345426924e-102 2.26795195206e-102 3.12354658709e-102 9.99992924001e-102 9.768092786e-103 5.57346733454e-102 2.38711737092e-102 2.49956124036e-102 4.57715800129e-102 1.19481490938e-102 2.22172982428e-102 5.2633545652e-102 4.01898457722e-102 3.1358966587e-102 3.88340635563e-102 2.99044363136e-102 4.17037695554e-102 9.37679775974e-102 3.19732732344e-102 1.66666666667e-101 3.06071410848e-102 2.9411764706e-102 5.42062257579e-102 7.69437210296e-102 3.99739789156e-102 4.30369655097e-102 2.56043065013e-102 4.68508350664e-102 4.3011588264e-102 4.37940188633e-102 1.20583026618e-102 7.15731323145e-102
